Conversion_Date,Project_Name,Consolidation_Name,Development_Name,Total_Units,Total_Repair_Costs_20yr_PNA,Status,Developers,General_Contractor,Property_Manager,Social_Service_Provider
12/31/2016,Ocean Bay,,OCEAN BAY APARTMENTS (BAYSIDE),1395,$317M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,Catholic Charities Community Services of the Archdiocese of Brooklyn & Queens (non-profit)
10/31/2018,Twin Parks West,,TWIN PARKS WEST (SITES 1 & 2),312,$46M*,Construction Complete,Gilbane Development Company,Apex Building Group (MWBE),"Kraus Management, Inc.",BronxWorks (non-profit)
11/16/2018,Betances,,BETANCES I,309,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES II, 13",51,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES II, 18",78,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES II, 9A",46,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES III, 13",22,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES III, 18",19,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,"BETANCES III, 9A",26,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
11/16/2018,Betances,,BETANCES IV,282,$145M*,Construction Complete,MDG Design + Construction LLC; Wavecrest Group LLC,MDG Design + Construction LLC,Wavecrest Management Group LLC,"Catholic Charities Community Services, Archdiocese of New York (non-profit)"
